case_number,0x_weight,0x_length,0x_shoulder,0x_neck_thick,0x_neck_dia,0x_capacity,0x_resized_length,0x_resized_shoulder,1x_weight,1x_length,1x_shoulder,1x_neck_dia,1x_capacity,1x_resized_length,1x_resized_shoulder,2x_weight,2x_length,2x_shoulder,2x_neck_dia,2x_capacity,2x_resized_length,2x_resized_shoulder,3x_weight,3x_length,3x_shoulder,3x_neck_dia,3x_capacity,3x_resized_length,3x_resized_shoulder,3x_primer_depth,trim_weight,trim_length,trim_case_depth,trim_case_depth_redo,trim_case_depth_raw,trim_primer_depth,trim_primer_depth_redo,trim_primer_depth_raw,3x_case_head_length,3x_case_head_length_redo,3x_flash_hole_length,3x_flash_hole_length_redo,flip_weight,3x_clean_weight_g,3x_clean_weight,4x_length_mm,4x_length,4x_length_in,4x_shoulder_mm,4x_shoulder,4x_shoulder_in,4x_neck_dia_mm,4x_neck_dia,4x_weight_g,4x_weight,4x_weight_gr,4x_capacity,4x_resized_length_mm,4x_resized_length,4x_resized_shoulder_mm,4x_resized_shoulder,4x_case_head_length_mm,4x_flash_hole_length_mm,4x_case_head_length,4x_flash_hole_length
1,169.4600,1.9115,1.5540,0.1400,0.2900,,1.9125,1.5540,169.4320,1.9120,1.5580,0.2920,48.9200,1.9125,1.5540,,1.9145,1.5595,0.2920,,1.9150,1.5565,169.3400,1.9160,1.5585,0.2920,49.2080,1.9180,1.5565,0.1170,168.7224,1.9100,1.7285,1.7280,1.5520,0.1170,0.1220,1.9640,0.1815,0.1820,0.0645,0.0600,169.3397,10.9320,168.7070,48.4700,1.9083,1.9080,39.5300,1.5563,1.5560,7.4200,0.2921,10.9320,168.7070,168.7000,48.9189,48.4700,1.9083,39.4500,1.5531,55.4000,1.5600,2.1811,0.0614
2,169.5400,1.9110,1.5535,0.1400,0.2900,,1.9105,1.5535,169.5250,1.9105,1.5595,0.2920,48.8300,1.9105,1.5535,,1.9115,1.5600,0.2930,,1.9130,1.5565,169.4320,1.9135,1.5590,0.2920,49.2640,1.9150,1.5565,0.1165,168.7224,1.9105,1.7285,1.7270,1.5510,0.1170,0.1225,1.9640,0.1820,0.1835,0.0650,0.0610,169.6947,10.9480,168.9539,48.4800,1.9087,1.9085,39.5700,1.5579,1.5580,7.4200,0.2921,10.9480,168.9539,168.9600,49.0870,48.4900,1.9091,39.4700,1.5539,55.4400,1.5600,2.1827,0.0614
3,168.6400,1.9110,1.5525,0.1400,0.2900,,1.9100,1.5520,168.6300,1.9090,1.5595,0.2920,48.9600,1.9100,1.5520,,1.9120,1.5600,0.2920,,1.9130,1.5555,168.5370,1.9145,1.5585,0.2925,49.3020,1.9140,1.5565,0.1155,169.1854,1.9100,1.7285,1.7310,1.5550,0.1170,0.1220,1.9640,0.1815,0.1790,0.0645,0.0570,169.1700,10.9070,168.3212,48.4900,1.9091,1.9090,39.5800,1.5583,1.5580,7.4200,0.2921,10.9060,168.3058,168.3200,49.1057,48.5000,1.9094,39.4700,1.5539,55.3800,1.4900,2.1803,0.0587
4,169.3400,1.9110,1.5530,0.1400,0.2900,,1.9120,1.5520,169.2930,1.9110,1.5595,0.2920,48.9000,1.9120,1.5520,,1.9135,1.5595,0.2920,,1.9155,1.5550,169.2320,1.9165,1.5590,0.2920,49.1900,1.9170,1.5565,0.1170,168.8150,1.9105,1.7295,1.7275,1.5515,0.1170,0.1225,1.9640,0.1810,0.1830,0.0640,0.0605,169.5326,10.9640,169.2008,48.5000,1.9094,1.9095,39.5800,1.5583,1.5580,7.4200,0.2921,10.9650,169.2163,169.2200,48.9936,48.5300,1.9106,39.4700,1.5539,55.4100,1.5500,2.1815,0.0610
5,169.0200,1.9110,1.5530,0.1400,0.2900,,1.9115,1.5520,168.9850,1.9100,1.5600,0.2920,49.0700,1.9115,1.5520,,1.9100,1.5605,0.2920,,1.9120,1.5550,168.9000,1.9120,1.5600,0.2925,49.1240,1.9135,1.5565,0.1150,168.8459,1.9095,1.7295,1.7280,1.5520,0.1180,0.1205,1.9650,0.1800,0.1815,0.0620,0.0610,169.7255,10.9570,169.0928,48.5600,1.9118,1.9120,39.5300,1.5563,1.5560,7.4200,0.2921,10.9570,169.0928,169.1000,49.0310,48.5700,1.9122,39.4700,1.5539,55.4500,1.5500,2.1831,0.0610
6,169.4600,1.9115,1.5530,0.1400,0.2900,,1.9100,1.5520,169.4480,1.9105,1.5600,0.2920,48.9900,1.9100,1.5520,,1.9130,1.5595,0.2920,,1.9150,1.5555,169.3630,1.9145,1.5595,0.2920,49.2180,1.9155,1.5565,0.1140,168.7533,1.9095,1.7285,1.7290,1.5530,0.1180,0.1215,1.9640,0.1810,0.1805,0.0630,0.0590,169.6021,10.9325,168.7147,48.5600,1.9118,1.9115,39.5300,1.5563,1.5560,7.4200,0.2921,10.9325,168.7147,168.7200,49.1617,48.5600,1.9118,39.4800,1.5543,55.3800,1.5200,2.1803,0.0598
7,169.3000,1.9095,1.5530,0.1400,0.2900,,1.9120,1.5520,169.2780,1.9080,1.5595,0.2920,49.0900,1.9120,1.5520,,1.9115,1.5590,0.2920,,1.9125,1.5555,169.1850,1.9125,1.5595,0.2925,49.1620,1.9140,1.5565,0.1160,169.0465,1.9100,1.7285,1.7270,1.5510,0.1175,0.1220,1.9640,0.1815,0.1830,0.0640,0.0610,168.9539,10.9700,169.2934,48.5200,1.9102,1.9105,39.5300,1.5563,1.5560,7.4200,0.2921,10.9730,169.3397,169.3200,49.0310,48.5400,1.9110,39.4800,1.5543,55.4200,1.5900,2.1819,0.0626
8,168.6600,1.9110,1.5530,0.1400,0.2900,,1.9110,1.5520,168.6450,1.9110,1.5600,0.2920,49.2900,1.9110,1.5520,,1.9130,1.5590,0.2920,,1.9150,1.5550,168.5600,1.9140,1.5600,0.2920,49.2360,1.9160,1.5565,0.1140,169.1545,1.9100,1.7285,1.7290,1.5530,0.1180,0.1220,1.9640,0.1815,0.1810,0.0635,0.0590,169.2780,10.9065,168.3135,48.5300,1.9106,1.9105,39.5200,1.5559,1.5560,7.4200,0.2921,10.9065,168.3135,168.3200,49.1430,48.5400,1.9110,39.4800,1.5543,55.3500,1.5000,2.1791,0.0591
9,169.5800,1.9110,1.5540,0.1400,0.2900,,1.9115,1.5520,169.5560,1.9100,1.5600,0.2920,49.1100,1.9115,1.5520,,1.9100,1.5610,0.2920,,1.9120,1.5550,169.4790,1.9110,1.5600,0.2920,49.1240,1.9125,1.5565,0.1140,168.9539,1.9100,1.7285,1.7285,1.5525,0.1175,0.1215,1.9645,0.1815,0.1815,0.0640,0.0600,169.6792,10.9510,169.0002,48.5600,1.9118,1.9120,39.5300,1.5563,1.5565,7.4200,0.2921,10.9500,168.9848,168.9800,49.1057,48.5800,1.9126,39.4800,1.5543,55.4100,1.5300,2.1815,0.0602
10,169.1200,1.9115,1.5525,0.1400,0.2900,,1.9135,1.5520,169.0620,1.9105,1.5600,0.2920,49.2900,1.9135,1.5520,,1.9140,1.5595,0.2920,,1.9160,1.5555,168.9850,1.9160,1.5590,0.2920,49.2180,1.9175,1.5565,0.1170,169.7255,1.9100,1.7270,1.7285,1.5525,0.1175,0.1210,1.9650,0.1830,0.1815,0.0655,0.0605,168.9385,10.9600,169.1391,48.5800,1.9126,1.9125,39.5300,1.5563,1.5560,7.4200,0.2921,10.9590,169.1237,169.1400,49.1617,48.6100,1.9138,39.4800,1.5543,55.4100,1.5400,2.1815,0.0606
11,169.2800,1.9125,1.5530,0.1400,0.2900,,1.9105,1.5520,169.2630,1.9110,1.5600,0.2920,49.0700,1.9105,1.5520,,1.9130,1.5600,0.2920,,1.9155,1.5560,169.1700,1.9145,1.5590,0.2920,49.3300,1.9160,1.5565,0.1160,168.9693,1.9100,1.7275,1.7280,1.5520,0.1170,0.1215,1.9645,0.1825,0.1820,0.0655,0.0605,169.1854,10.9625,169.1777,48.5400,1.9110,1.9110,39.5200,1.5559,1.5560,7.4200,0.2921,10.9620,169.1700,169.1600,49.1057,48.5500,1.9114,39.4700,1.5539,55.4300,1.5600,2.1823,0.0614
12,169.7200,1.9100,1.5535,0.1400,0.2900,,1.9110,1.5520,169.6950,1.9090,1.5600,0.2920,49.0500,1.9110,1.5520,,1.9100,1.5600,0.2915,,1.9135,1.5560,169.5870,1.9125,1.5595,0.2920,49.3300,1.9135,1.5565,0.1160,169.3166,1.9100,1.7285,1.7270,1.5510,0.1175,0.1215,1.9645,0.1815,0.1830,0.0640,0.0615,168.6144,10.9710,169.3089,48.5400,1.9110,1.9110,39.5300,1.5563,1.5565,7.4200,0.2921,10.9700,169.2934,169.3000,49.0496,48.5700,1.9122,39.4800,1.5543,55.4200,1.5600,2.1819,0.0614
13,169.5000,1.9105,1.5540,0.1400,0.2900,,1.9125,1.5520,169.4790,1.9085,1.5600,0.2920,49.1200,1.9125,1.5520,,1.9100,1.5600,0.2915,,1.9130,1.5565,169.3710,1.9130,1.5595,0.2925,49.1800,1.9140,1.5565,0.1170,169.3089,1.9100,1.7275,1.7275,1.5515,0.1170,0.1220,1.9640,0.1825,0.1825,0.0655,0.0605,168.5835,10.9620,169.1700,48.5500,1.9114,1.9115,39.5300,1.5563,1.5565,7.4200,0.2921,10.9610,169.1545,169.1600,49.0496,48.5700,1.9122,39.4900,1.5547,55.4200,1.5600,2.1819,0.0614
14,169.6400,1.9115,1.5540,0.1400,0.2900,,1.9115,1.5520,169.6020,1.9110,1.5600,0.2920,49.1100,1.9115,1.5520,,1.9120,1.5605,0.2920,,1.9135,1.5555,169.5170,1.9135,1.5600,0.2920,49.1990,1.9145,1.5565,0.1170,169.5558,1.9100,1.7265,1.7275,1.5515,0.1170,0.1210,1.9650,0.1835,0.1825,0.0665,0.0615,169.4015,10.9740,169.3552,48.5600,1.9118,1.9115,39.5300,1.5563,1.5565,7.4200,0.2921,10.9750,169.3706,169.3600,49.0123,48.5700,1.9122,39.4800,1.5543,55.4400,1.5600,2.1827,0.0614
15,169.4800,1.9110,1.5530,0.1400,0.2900,,1.9110,1.5520,169.4630,1.9100,1.5600,0.2920,49.1100,1.9110,1.5520,,1.9100,1.5605,0.2920,,1.9130,1.5555,169.3710,1.9125,1.5600,0.2920,49.1990,1.9135,1.5570,0.1160,168.3752,1.9100,1.7305,1.7285,1.5525,0.1175,0.1220,1.9640,0.1795,0.1815,0.0620,0.0595,169.1545,10.9450,168.9076,48.5300,1.9106,1.9110,39.5200,1.5559,1.5560,7.4200,0.2921,10.9460,168.9231,168.9400,49.0496,48.5600,1.9118,39.4700,1.5539,55.4000,1.5200,2.1811,0.0598
16,169.5200,1.9105,1.5530,0.1400,0.2900,,1.9110,1.5530,169.4940,1.9090,1.5600,0.2920,49.1200,1.9110,1.5530,,1.9095,1.5610,0.2920,,1.9115,1.5550,169.4010,1.9115,1.5600,0.2925,49.2360,1.9120,1.5575,0.1160,169.2008,1.9100,1.7275,1.7290,1.5530,0.1170,0.1215,1.9645,0.1825,0.1810,0.0655,0.0595,168.5990,10.9375,168.7919,48.5600,1.9118,1.9115,39.5300,1.5563,1.5565,7.4200,0.2921,10.9370,168.7842,168.8000,49.0683,48.5800,1.9126,39.4700,1.5539,55.3800,1.5100,2.1803,0.0594
17,169.4400,1.9105,1.5530,0.1400,0.2900,,1.9135,1.5530,169.4170,1.9100,1.5600,0.2920,49.1600,1.9135,1.5530,,1.9100,1.5605,0.2915,,1.9120,1.5550,169.3090,1.9115,1.5600,0.2925,49.1800,1.9125,1.5580,0.1160,169.0619,1.9095,1.7275,1.7265,1.5505,0.1175,0.1215,1.9640,0.1820,0.1830,0.0645,0.0615,168.3752,10.9860,169.5403,48.5200,1.9102,1.9100,39.5200,1.5559,1.5560,7.4200,0.2921,10.9865,169.5481,169.5400,48.9750,48.5500,1.9114,39.4700,1.5539,55.4400,1.5600,2.1827,0.0614
18,168.4000,1.9115,1.5525,0.1400,0.2900,,1.9100,1.5520,168.3830,1.9110,1.5600,0.2920,49.3300,1.9100,1.5520,,1.9110,1.5605,0.2920,,1.9150,1.5550,168.2590,1.9140,1.5600,0.2925,49.2740,1.9160,1.5575,0.1160,169.3937,1.9100,1.7270,1.7300,1.5540,0.1170,0.1225,1.9635,0.1830,0.1800,0.0660,0.0575,168.1514,10.8885,168.0357,48.5400,1.9110,1.9110,39.5200,1.5559,1.5560,7.4200,0.2921,10.8875,168.0203,168.0200,49.1803,48.5600,1.9118,39.4800,1.5543,55.3300,1.4800,2.1783,0.0583
19,169.8600,1.9105,1.5535,0.1400,0.2900,,1.9105,1.5520,169.8180,1.9100,1.5600,0.2920,49.2400,1.9105,1.5520,,1.9100,1.5610,0.2920,,1.9120,1.5550,169.7260,1.9110,1.5605,0.2920,49.1800,1.9125,1.5575,0.1150,169.6792,1.9095,1.7275,1.7280,1.5520,0.1170,0.1210,1.9645,0.1820,0.1815,0.0650,0.0605,169.0619,10.9600,169.1391,48.5200,1.9102,1.9100,39.5200,1.5559,1.5560,7.4200,0.2921,10.9615,169.1623,169.1600,48.9750,48.5500,1.9114,39.4900,1.5547,55.4100,1.5400,2.1815,0.0606
20,169.0800,1.9115,1.5530,0.1400,0.2900,,1.9110,1.5525,169.0620,1.9100,1.5600,0.2920,49.2000,1.9110,1.5525,,1.9100,1.5605,0.2920,,1.9125,1.5550,168.9540,1.9115,1.5600,0.2920,49.1800,1.9125,1.5575,0.1170,169.5249,1.9100,1.7270,1.7275,1.5515,0.1170,0.1215,1.9645,0.1830,0.1825,0.0660,0.0610,169.0619,10.9670,169.2471,48.5400,1.9110,1.9110,39.5300,1.5563,1.5565,7.4200,0.2921,10.9670,169.2471,169.2600,49.1243,48.5700,1.9122,39.5000,1.5551,55.4300,1.5500,2.1823,0.0610
21,168.9000,1.9100,1.5535,0.1400,0.2900,,1.9110,1.5530,168.8770,1.9095,1.5600,0.2920,49.1200,1.9110,1.5530,,1.9090,1.5610,0.2920,,1.9120,1.5550,168.8000,1.9140,1.5595,0.2925,49.3110,1.9150,1.5575,0.1160,168.3212,1.9100,1.7300,1.7285,1.5525,0.1170,0.1220,1.9640,0.1800,0.1815,0.0630,0.0595,168.4446,10.9410,168.8459,48.5200,1.9102,1.9105,39.5300,1.5563,1.5565,7.4200,0.2921,10.9400,168.8305,168.8200,49.1057,48.5400,1.9110,39.5000,1.5551,55.3800,1.5300,2.1803,0.0602
22,169.7000,1.9100,1.5535,0.1400,0.2900,,1.9105,1.5525,169.6640,1.9085,1.5600,0.2920,49.0900,1.9105,1.5525,,1.9100,1.5610,0.2920,,1.9115,1.5550,169.5710,1.9120,1.5600,0.2920,49.1800,1.9130,1.5575,0.1160,168.3289,1.9100,1.7305,1.7295,1.5535,0.1170,0.1220,1.9640,0.1795,0.1805,0.0625,0.0585,168.4138,10.9095,168.3598,48.5200,1.9102,1.9105,39.5200,1.5559,1.5560,7.4200,0.2921,10.9075,168.3289,168.3400,49.1430,48.5500,1.9114,39.5000,1.5551,55.3300,1.5000,2.1783,0.0591
23,169.6000,1.9105,1.5530,0.1400,0.2900,,1.9115,1.5530,169.5560,1.9100,1.5605,0.2920,49.2700,1.9115,1.5530,,1.9105,1.5610,0.2920,,1.9130,1.5555,169.4790,1.9120,1.5605,0.2920,49.1430,1.9130,1.5570,0.1150,169.1700,1.9105,1.7275,1.7275,1.5515,0.1175,0.1225,1.9640,0.1830,0.1830,0.0655,0.0605,169.0156,10.9685,169.2703,48.5300,1.9106,1.9110,39.5200,1.5559,1.5565,7.4200,0.2921,10.9670,169.2471,169.2400,49.0496,48.5600,1.9118,39.4900,1.5547,55.4000,1.5500,2.1811,0.0610
